endpoint	methods	permission	file:line	in_registry?
apollo/v1/eventos/(?P<id>\d+)/participantes/(?P<user_id>\d+)/check-in	POST	can_edit_event	apollo-events/src/API/EventsController.php:398	YES
apollo/v1/eventos/(?P<id>\d+)/participantes/(?P<user_id>\d+)/check-in	POST	closure	apollo-events/src/API/EventsController.php:398	YES
apollo/v1/eventos/(?P<id>\d+)/participantes/(?P<user_id>\d+)/check-in	GET	closure	apollo-events/src/API/EventsController.php:398	YES
apollo/v1/eventos/(?P<id>\d+)/participantes/(?P<user_id>\d+)/check-in	GET	closure	apollo-events/src/API/EventsController.php:398	YES
apollo/v1/eventos/(?P<id>\d+)/participantes/(?P<user_id>\d+)/check-in	POST	closure	apollo-events/src/API/EventsController.php:398	YES
apollo/v1/eventos/(?P<id>\d+)/notificar-warmup	POST	closure	apollo-events/src/API/EventsController.php:423	YES
apollo/v1/eventos/meus	GET	closure	apollo-events/src/API/EventsController.php:447	YES
apollo/v1/eventos/meus/rsvp	GET	closure	apollo-events/src/API/EventsController.php:472	YES
apollo/v1/eventos/lote	POST	closure	apollo-events/src/API/EventsController.php:502	YES
apollo/v1/eventos	GET	__return_true	apollo-events/src/API/EventsController.php:54	YES
apollo/v1/eventos	POST	can_edit	apollo-events/src/API/EventsController.php:54	YES
apollo/v1/eventos/(?P<id>\d+)	GET	__return_true	apollo-events/src/API/EventsController.php:74	YES
apollo/v1/eventos/(?P<id>\d+)	PUT,PATCH	can_edit_event	apollo-events/src/API/EventsController.php:74	YES
apollo/v1/eventos/(?P<id>\d+)	DELETE	can_delete_event	apollo-events/src/API/EventsController.php:74	YES
apollo/v1cena-rio/confirmar/(?P<id>\d+)	POST	array(__CLASS__, 'check_submission_permission')	apollo-events/src/Cena_Rio_Submissions.php:114	YES
apollo/v1cena-rio/cancelar/(?P<id>\d+)	POST	array(__CLASS__, 'check_submission_permission')	apollo-events/src/Cena_Rio_Submissions.php:131	YES
apollo_cena_submit_event	N/A	N/A	apollo-events/src/Cena_Rio_Submissions.php:38	DEV_REG
apollo/v1cena-rio/agenda	GET	check_submission_permission	apollo-events/src/Cena_Rio_Submissions.php:53	YES
apollo/v1cena-rio/enviar	POST	array(__CLASS__, 'check_submission_permission')	apollo-events/src/Cena_Rio_Submissions.php:65	YES
apollo/v1/eventos/importar-url/preview	POST	can_import	apollo-events/src/Import/UrlImportController.php:66	NO
apollo/v1/eventos/importar-url	POST	can_import	apollo-events/src/Import/UrlImportController.php:77	NO
a-eve	N/A	N/A	apollo-events/src/Shortcodes.php:51	DEV_REG
$apollo_tag	N/A	N/A	apollo-events/src/Shortcodes.php:67	DYNAMIC
apollo_fav_toggle	POST	nopriv	apollo-fav/includes/class-cbx-bridge.php:47	YES
apollo_my_favs	N/A	N/A	apollo-fav/includes/class-dashboard.php:62	DEV_REG
apollo_fav	N/A	N/A	apollo-fav/includes/class-dashboard.php:65	DEV_REG
apollo_get_user_top_sounds	POST	nopriv	apollo-fav/includes/class-fav-ranking.php:50	YES
apollo_top_sounds	N/A	N/A	apollo-fav/includes/class-fav-ranking.php:51	DEV_REG
apollo_fav_dashboard	N/A	N/A	apollo-fav/includes/class-fav-sound-dashboard.php:28	DEV_REG
apollo_interesse_dashboard	N/A	N/A	apollo-fav/includes/class-fav-sound-dashboard.php:30	DEV_REG
apollo/v1/toggle/(?P<post_id>\d+)	POST	check_auth	apollo-fav/includes/class-rest-controller.php:111	YES
apollo/v1/count/(?P<post_id>\d+)	GET	__return_true	apollo-fav/includes/class-rest-controller.php:129	YES
apollo/v1/check/(?P<post_id>\d+)	GET	check_auth	apollo-fav/includes/class-rest-controller.php:147	YES
apollo/v1/	GET	check_auth	apollo-fav/includes/class-rest-controller.php:43	YES
apollo/v1/	POST	check_auth	apollo-fav/includes/class-rest-controller.php:43	YES
apollo/v1/(?P<post_id>\d+)	DELETE	check_auth	apollo-fav/includes/class-rest-controller.php:93	YES
apollo/v1/groups	GET	$public_read	apollo-groups/src/Plugin.php:228	YES
apollo/v1/groups	POST	$logged	apollo-groups/src/Plugin.php:228	YES
apollo/v1/groups/(?P<id>\d+)	GET	$public_read	apollo-groups/src/Plugin.php:245	YES
apollo/v1/groups/(?P<id>\d+)	PUT	$logged	apollo-groups/src/Plugin.php:245	YES
apollo/v1/groups/(?P<id>\d+)	DELETE	closure	apollo-groups/src/Plugin.php:245	YES
apollo/v1/groups/(?P<id>\d+)/members	GET	$public_read	apollo-groups/src/Plugin.php:269	YES
apollo/v1/groups/(?P<id>\d+)/join	POST	$logged	apollo-groups/src/Plugin.php:279	YES
apollo/v1/groups/(?P<id>\d+)/leave	POST	$logged	apollo-groups/src/Plugin.php:289	YES
apollo/v1/groups/comunas	GET	$public_read	apollo-groups/src/Plugin.php:299	YES
apollo/v1/groups/nucleos	GET	$public_read	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	GET	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	POST	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	POST	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	POST	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	DELETE	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	DELETE	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	GET	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	GET	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	POST	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	POST	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	POST	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	GET	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	GET	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	POST	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	POST	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	POST	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	GET	$public_read	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	GET	$public_read	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	POST	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	DELETE	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	POST	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/nucleos	DELETE	$logged	apollo-groups/src/Plugin.php:312	YES
apollo/v1/groups/my	GET	$logged	apollo-groups/src/Plugin.php:328	YES
apollo/v1/groups/(?P<id>\d+)/members/(?P<user_id>\d+)/promote	POST	$logged	apollo-groups/src/Plugin.php:340	YES
apollo/v1/groups/(?P<id>\d+)/members/(?P<user_id>\d+)/demote	POST	$logged	apollo-groups/src/Plugin.php:350	YES
apollo/v1/groups/(?P<id>\d+)/members/(?P<user_id>\d+)/ban	POST	$logged	apollo-groups/src/Plugin.php:360	YES
apollo/v1/groups/(?P<id>\d+)/members/(?P<user_id>\d+)/ban	DELETE	$logged	apollo-groups/src/Plugin.php:360	YES
apollo/v1/groups/(?P<id>\d+)/members/(?P<user_id>\d+)	DELETE	$logged	apollo-groups/src/Plugin.php:377	YES
apollo/v1/groups/(?P<id>\d+)/bans	GET	$logged	apollo-groups/src/Plugin.php:387	YES
apollo/v1/groups/(?P<id>\d+)/invitations	GET	$logged	apollo-groups/src/Plugin.php:399	YES
apollo/v1/groups/(?P<id>\d+)/invitations	POST	$logged	apollo-groups/src/Plugin.php:399	YES
apollo/v1/groups/(?P<id>\d+)/invitations/accept	POST	$logged	apollo-groups/src/Plugin.php:416	YES
apollo/v1/groups/(?P<id>\d+)/invitations/reject	POST	$logged	apollo-groups/src/Plugin.php:426	YES
apollo/v1/my/group-invitations	GET	$logged	apollo-groups/src/Plugin.php:437	YES
apollo/v1/groups/(?P<id>\d+)/requests	GET	$logged	apollo-groups/src/Plugin.php:449	YES
apollo/v1/groups/(?P<id>\d+)/requests	POST	$logged	apollo-groups/src/Plugin.php:449	YES
apollo/v1/groups/(?P<id>\d+)/requests/(?P<user_id>\d+)/accept	POST	$logged	apollo-groups/src/Plugin.php:466	YES
apollo/v1/groups/(?P<id>\d+)/requests/(?P<user_id>\d+)/reject	POST	$logged	apollo-groups/src/Plugin.php:476	YES
