endpoint	methods	permission	file:line	in_registry?
apollo/v1/errorlog	DELETE	function ()	apollo-admin/src/ErrorLogViewer.php:71	yes
apollo/v1/eventos	GET,POST	'__return_true'	apollo-events/src/API/EventsController.php:29	yes
apollo/v1/eventos/(?P<id>\d+)	DELETE,GET,PATCH,POST,PUT	'__return_true'	apollo-events/src/API/EventsController.php:59	yes
apollo/v1/eventos/(?P<id>\d+)/banner	DELETE,POST	$this, 'can_edit_event'	apollo-events/src/API/EventsController.php:259	yes
apollo/v1/eventos/(?P<id>\d+)/clonar	POST	$this, 'can_edit_event'	apollo-events/src/API/EventsController.php:277	yes
apollo/v1/eventos/(?P<id>\d+)/djs	DELETE,GET,POST	'__return_true'	apollo-events/src/API/EventsController.php:167	yes
apollo/v1/eventos/(?P<id>\d+)/estatisticas	GET	$this, 'can_edit_event'	apollo-events/src/API/EventsController.php:290	yes
apollo/v1/eventos/(?P<id>\d+)/fragmento	GET	'__return_true'	apollo-events/includes/render-single.php:568	no
apollo/v1/eventos/(?P<id>\d+)/notificar-warmup	POST	function ()	apollo-events/src/API/EventsController.php:362	yes
apollo/v1/eventos/(?P<id>\d+)/participantes	DELETE,GET,POST	$this, 'can_edit_event'	apollo-events/src/API/EventsController.php:298	yes
apollo/v1/eventos/(?P<id>\d+)/participantes/(?P<user_id>\d+)/check-in	POST	$this, 'can_edit_event'	apollo-events/src/API/EventsController.php:343	yes
apollo/v1/eventos/buscar	GET	'__return_true'	apollo-events/src/API/EventsController.php:209	yes
apollo/v1/eventos/calendario/(?P<year>\d{4})/(?P<month>\d{1,2})	GET	'__return_true'	apollo-events/src/API/EventsController.php:237	yes
apollo/v1/eventos/hoje	GET	'__return_true'	apollo-events/src/API/EventsController.php:108	yes
apollo/v1/eventos/importar-url	POST	$this, 'can_import'	apollo-events/src/Import/UrlImportController.php:48	no
apollo/v1/eventos/importar-url/preview	POST	$this, 'can_import'	apollo-events/src/Import/UrlImportController.php:30	no
apollo/v1/eventos/lote	POST	function ()	apollo-events/src/API/EventsController.php:429	yes
apollo/v1/eventos/meus	GET	function ()	apollo-events/src/API/EventsController.php:383	yes
apollo/v1/eventos/meus/rsvp	GET	function ()	apollo-events/src/API/EventsController.php:399	yes
apollo/v1/eventos/passados	GET	'__return_true'	apollo-events/src/API/EventsController.php:96	yes
apollo/v1/eventos/por-data/(?P<date>[\d-]+)	GET	'__return_true'	apollo-events/src/API/EventsController.php:116	yes
apollo/v1/eventos/por-dj/(?P<dj_id>\d+)	GET	'__return_true'	apollo-events/src/API/EventsController.php:151	yes
apollo/v1/eventos/por-local/(?P<loc_id>\d+)	GET	'__return_true'	apollo-events/src/API/EventsController.php:139	yes
apollo/v1/eventos/proximos	GET	'__return_true'	apollo-events/src/API/EventsController.php:86	yes
apollo/v1/events/request	POST	'is_user_logged_in'	apollo-adverts/includes/event-selector.php:756	yes
apollo/v1/favs	GET,POST	$this, 'check_auth'	apollo-fav/includes/class-rest-controller.php:9	no
apollo/v1/favs/(?P<post_id>\d+)	DELETE	$this, 'check_auth'	apollo-fav/includes/class-rest-controller.php:65	no
apollo/v1/favs/check/(?P<post_id>\d+)	GET	$this, 'check_auth'	apollo-fav/includes/class-rest-controller.php:116	no
apollo/v1/favs/count/(?P<post_id>\d+)	GET	'__return_true'	apollo-fav/includes/class-rest-controller.php:99	no
apollo/v1/favs/toggle/(?P<post_id>\d+)	POST	$this, 'check_auth'	apollo-fav/includes/class-rest-controller.php:80	no
apollo/v1/feed	GET	function ()	apollo-social/src/Plugin.php:59	yes
apollo/v1/feed/post	POST	function ()	apollo-social/src/Plugin.php:74	yes
apollo/v1/groups	GET,POST	$public_read	apollo-groups/src/Plugin.php:123	yes
apollo/v1/groups/(?P<id>\d+)	DELETE,GET,PUT	$public_read	apollo-groups/src/Plugin.php:139	yes
apollo/v1/groups/(?P<id>\d+)/avatar	DELETE,POST	$logged	apollo-groups/src/Plugin.php:388	yes
apollo/v1/groups/(?P<id>\d+)/bans	GET	$logged	apollo-groups/src/Plugin.php:262	yes
apollo/v1/groups/(?P<id>\d+)/cover	DELETE,POST	$logged	apollo-groups/src/Plugin.php:406	yes
apollo/v1/groups/(?P<id>\d+)/feed	GET	$public_read	apollo-groups/src/Plugin.php:366	yes
apollo/v1/groups/(?P<id>\d+)/invitations	GET,POST	$logged	apollo-groups/src/Plugin.php:273	yes
apollo/v1/groups/(?P<id>\d+)/invitations/accept	POST	$logged	apollo-groups/src/Plugin.php:292	yes
apollo/v1/groups/(?P<id>\d+)/invitations/reject	POST	$logged	apollo-groups/src/Plugin.php:303	yes
apollo/v1/groups/(?P<id>\d+)/join	POST	$logged	apollo-groups/src/Plugin.php:178	yes
apollo/v1/groups/(?P<id>\d+)/leave	POST	$logged	apollo-groups/src/Plugin.php:182	yes
apollo/v1/groups/(?P<id>\d+)/members	GET	$public_read	apollo-groups/src/Plugin.php:169	yes
apollo/v1/groups/(?P<id>\d+)/members/(?P<user_id>\d+)	DELETE	$logged	apollo-groups/src/Plugin.php:255	yes
apollo/v1/groups/(?P<id>\d+)/members/(?P<user_id>\d+)/ban	DELETE,POST	$logged	apollo-groups/src/Plugin.php:238	yes
apollo/v1/groups/(?P<id>\d+)/members/(?P<user_id>\d+)/demote	POST	$logged	apollo-groups/src/Plugin.php:228	yes
apollo/v1/groups/(?P<id>\d+)/members/(?P<user_id>\d+)/promote	POST	$logged	apollo-groups/src/Plugin.php:220	yes
apollo/v1/groups/(?P<id>\d+)/requests	GET,POST	$logged	apollo-groups/src/Plugin.php:319	yes
apollo/v1/groups/(?P<id>\d+)/requests/(?P<user_id>\d+)/accept	POST	$logged	apollo-groups/src/Plugin.php:338	yes
apollo/v1/groups/(?P<id>\d+)/requests/(?P<user_id>\d+)/reject	POST	$logged	apollo-groups/src/Plugin.php:346	yes
apollo/v1/groups/comunas	GET	$public_read	apollo-groups/src/Plugin.php:192	yes
apollo/v1/groups/my	GET	$logged	apollo-groups/src/Plugin.php:214	yes
apollo/v1/groups/nucleos	GET	$public_read	apollo-groups/src/Plugin.php:199	yes
apollo/v1/groups/search	GET	$public_read	apollo-groups/src/Plugin.php:356	yes
apollo/v1/health	GET	'__return_true'	apollo-core/src/API/HealthController.php:18	yes
apollo/v1/hubs	GET	'__return_true'	apollo-hub/src/API/HubController.php:10	yes
apollo/v1/hubs/(?P<username>[a-zA-Z0-9._-]+)	GET,PATCH,POST,PUT	'__return_true'	apollo-hub/src/API/HubController.php:45	yes
apollo/v1/hubs/(?P<username>[a-zA-Z0-9._-]+)/blocks	GET,PATCH,POST,PUT	'__return_true'	apollo-hub/src/API/HubController.php:116	yes
apollo/v1/hubs/(?P<username>[a-zA-Z0-9._-]+)/links	GET,PATCH,POST,PUT	'__return_true'	apollo-hub/src/API/HubController.php:73	yes
apollo/v1/hubs/(?P<username>[a-zA-Z0-9._-]+)/share/(?P<post_id>\d+)	GET	'__return_true'	apollo-hub/src/API/HubController.php:166	yes
apollo/v1/hubs/me	GET	$this, 'is_logged_in'	apollo-hub/src/API/HubController.php:190	yes
apollo/v1/iframe/(?P<slug>[a-z0-9-]+)	GET	'__return_true'	apollo-events/includes/iframe-proxy.php:17	no
apollo/v1/journal/news	GET	'__return_true'	apollo-journal/src/API/PostsController.php:34	yes
apollo/v1/journal/notas	GET	'__return_true'	apollo-journal/src/API/PostsController.php:47	yes
apollo/v1/journal/posts	GET	'__return_true'	apollo-journal/src/API/PostsController.php:12	yes
apollo/v1/leaderboard	GET	'__return_true'	apollo-membership/src/API/LeaderboardController.php:15	yes
apollo/v1/leaderboard/user/(?P<id>\d+)	GET	'__return_true'	apollo-membership/src/API/LeaderboardController.php:36	yes
apollo/v1/local	GET,POST	'__return_true'	apollo-loc/src/API/LocalsController.php:12	no
apollo/v1/local	GET,POST	'__return_true'	apollo-loc/src/API/Router.php:50	no
apollo/v1/local/(?P<id>[\d]+)	DELETE,GET,PATCH,POST,PUT	'__return_true'	apollo-loc/src/API/LocalsController.php:55	no
apollo/v1/local/(?P<id>[\d]+)	DELETE,GET,PATCH,POST,PUT	'__return_true'	apollo-loc/src/API/Router.php:71	no
apollo/v1/local/proximos	GET	'__return_true'	apollo-loc/src/API/LocalsController.php:84	no
apollo/v1/local/proximos	GET	'__return_true'	apollo-loc/src/API/Router.php:30	no
apollo/v1/map/explorer	GET	'__return_true'	apollo-maps/src/API/ExplorerController.php:16	yes
apollo/v1/members	GET	'__return_true'	apollo-social/src/Plugin.php:192	yes
apollo/v1/members/suggestions	GET	function ()	apollo-social/src/Plugin.php:222	yes
apollo/v1/membership-badge	GET	'__return_true'	apollo-membership/src/API/LeaderboardController.php:70	yes
apollo/v1/membership-badge	POST	$this, 'check_admin'	apollo-membership/src/API/LeaderboardController.php:87	yes
apollo/v1/membership/achievements/award	POST	$this, 'check_admin'	apollo-membership/src/API/AchievementsController.php:85	yes
apollo/v1/membership/achievements/revoke	POST	$this, 'check_admin'	apollo-membership/src/API/AchievementsController.php:109	yes
apollo/v1/membership/evidence/(?P<achievement_id>\d+)	GET	'__return_true'	apollo-membership/src/API/AchievementsController.php:134	yes
apollo/v1/membership/ranks/award	POST	$this, 'check_admin'	apollo-membership/src/API/RanksController.php:64	yes
apollo/v1/membership/triggers	GET	'__return_true'	apollo-membership/src/API/TriggersController.php:21	yes
apollo/v1/membership/verify/(?P<hash>[a-zA-Z0-9]+)	GET	'__return_true'	apollo-membership/src/API/AchievementsController.php:157	yes
apollo/v1/mod/log	GET	$mod	apollo-mod/src/Plugin.php:76	yes
apollo/v1/mod/queue	GET	$mod	apollo-mod/src/Plugin.php:37	yes
apollo/v1/mod/queue/(?P<id>\d+)/approve	POST	$mod	apollo-mod/src/Plugin.php:47	yes
apollo/v1/mod/queue/(?P<id>\d+)/flag	POST	$mod	apollo-mod/src/Plugin.php:64	yes
apollo/v1/mod/queue/(?P<id>\d+)/reject	POST	$mod	apollo-mod/src/Plugin.php:56	yes
apollo/v1/mod/report	POST	function ()	apollo-mod/src/Plugin.php:98	yes
apollo/v1/mod/stats	GET	$mod	apollo-mod/src/Plugin.php:87	yes
